timeFMT,donor2acceptor,value,id
0,YO,0,1
1,YO,1,1
4,YO,2,1
7,YO,5,1
11,YO,6,1
14,YO,4,1
21,YO,5,1
28,YO,5,1
35,YO,4,1
41,YO,2,1
49,YO,1,1
0,YO,0,2
1,YO,0,2
4,YO,1,2
7,YO,7,2
11,YO,6,2
14,YO,6,2
21,YO,7,2
28,YO,8,2
35,YO,7,2
41,YO,4,2
49,YO,5,2
0,YO,0,3
1,YO,1,3
4,YO,2,3
7,YO,7,3
11,YO,5,3
14,YO,4,3
21,YO,5,3
28,YO,4,3
35,YO,5,3
41,YO,3,3
49,YO,2,3
0,YO,0,4
1,YO,1,4
4,YO,1,4
7,YO,4,4
11,YO,4,4
14,YO,2,4
21,YO,5,4
28,YO,3,4
35,YO,3,4
41,YO,3,4
49,YO,2,4
0,YO,0,5
1,YO,0,5
4,YO,0,5
7,YO,7,5
11,YO,7,5
14,YO,5,5
21,YO,7,5
28,YO,6,5
35,YO,7,5
41,YO,3,5
49,YO,4,5
0,OO,0,1
1,OO,2,1
4,OO,2,1
7,OO,5,1
11,OO,1,1
14,OO,1,1
21,OO,0,1
28,OO,,1
35,OO,,1
41,OO,,1
49,OO,,1
0,OO,0,2
1,OO,1,2
4,OO,3,2
7,OO,6,2
11,OO,3,2
14,OO,3,2
21,OO,3,2
28,OO,3,2
35,OO,3,2
41,OO,2,2
49,OO,2,2
0,OO,0,3
1,OO,2,3
4,OO,2,3
7,OO,5,3
11,OO,5,3
14,OO,4,3
21,OO,5,3
28,OO,5,3
35,OO,6,3
41,OO,4,3
49,OO,5,3
0,OO,0,4
1,OO,1,4
4,OO,0,4
7,OO,6,4
11,OO,3,4
14,OO,4,4
21,OO,4,4
28,OO,5,4
35,OO,4,4
41,OO,3,4
49,OO,2,4
0,OO,0,5
1,OO,1,5
4,OO,0,5
7,OO,6,5
11,OO,4,5
14,OO,3,5
21,OO,4,5
28,OO,2,5
35,OO,3,5
41,OO,4,5
49,OO,2,5
